Account: 1c82aa56-ba44-451d-8ee3-d5c0873bd60a | Type: Deposit | Amount: 338.0
Account: 1c82aa56-ba44-451d-8ee3-d5c0873bd60a | Type: Withdrawal | Amount: 378.0
Account: 5037ebcb-bb21-4a1a-b492-d0c692e86d1c | Type: Deposit | Amount: 264.0
Account: 5037ebcb-bb21-4a1a-b492-d0c692e86d1c | Type: Withdrawal | Amount: 410.0
Account: d5f370fc-737c-4f52-8ccb-6e62ac3add11 | Type: Deposit | Amount: 274.0
Account: d5f370fc-737c-4f52-8ccb-6e62ac3add11 | Type: Withdrawal | Amount: 246.0
Account: 2f2dc4d6-8f2b-4e7d-9eb4-1a7a5ab0bc01 | Type: Deposit | Amount: 389.0
Account: 2f2dc4d6-8f2b-4e7d-9eb4-1a7a5ab0bc01 | Type: Withdrawal | Amount: 215.0
Account: 1d595655-f9f3-4a7a-982a-69863274c8b8 | Type: Deposit | Amount: 437.0
Account: 1d595655-f9f3-4a7a-982a-69863274c8b8 | Type: Withdrawal | Amount: 239.0
Account: bb583735-914b-4dee-b906-ae54c3ae0299 | Type: Deposit | Amount: 104.0
Account: bb583735-914b-4dee-b906-ae54c3ae0299 | Type: Withdrawal | Amount: 82.0
Account: 80250e5a-ae05-46f0-8036-865a5bdc7ee4 | Type: Deposit | Amount: 246.0
Account: 80250e5a-ae05-46f0-8036-865a5bdc7ee4 | Type: Withdrawal | Amount: 440.0
Account: d52adaba-23ba-46f3-9706-2caca5621120 | Type: Deposit | Amount: 235.0
Account: d52adaba-23ba-46f3-9706-2caca5621120 | Type: Withdrawal | Amount: 388.0
Account: b14da874-3186-48a5-81d0-0e6e3af4856a | Type: Deposit | Amount: 283.0
Account: b14da874-3186-48a5-81d0-0e6e3af4856a | Type: Withdrawal | Amount: 305.0
Account: 2b1483bc-889d-4513-ab93-510e7ebc176c | Type: Deposit | Amount: 196.0
Account: 2b1483bc-889d-4513-ab93-510e7ebc176c | Type: Withdrawal | Amount: 102.0
Account: f87f8bad-c70c-4469-a50f-cbef4ac71413 | Type: Deposit | Amount: 373.0
Account: f87f8bad-c70c-4469-a50f-cbef4ac71413 | Type: Withdrawal | Amount: 84.0
Account: 22ba7dd4-dbe2-4642-a6a6-28b37cd51645 | Type: Deposit | Amount: 206.0
Account: 22ba7dd4-dbe2-4642-a6a6-28b37cd51645 | Type: Withdrawal | Amount: 375.0
Account: 47063e4c-2011-4c47-9e98-41ec6dde56f8 | Type: Deposit | Amount: 143.0
Account: 47063e4c-2011-4c47-9e98-41ec6dde56f8 | Type: Withdrawal | Amount: 70.0
Account: 81df3a95-0637-42ae-9291-8f623d749a16 | Type: Deposit | Amount: 250.0
Account: 81df3a95-0637-42ae-9291-8f623d749a16 | Type: Withdrawal | Amount: 128.0
Account: f16f9a20-d3d2-4e0f-a794-2c03e4f2c0ed | Type: Deposit | Amount: 367.0
Account: f16f9a20-d3d2-4e0f-a794-2c03e4f2c0ed | Type: Withdrawal | Amount: 406.0
Account: 8a6901a7-85a0-49d2-b48d-e835d7a20860 | Type: Deposit | Amount: 168.0
Account: 8a6901a7-85a0-49d2-b48d-e835d7a20860 | Type: Withdrawal | Amount: 358.0
